REF_DATE,GEO,Statistics,UOM,COORDINATE,VALUE
1998,"London, Ontario [35555]",Youth crime severity index,Index,23.7,
1998,"London, Ontario [35555]",Youth violent crime severity index,Index,23.9,
1998,"London, Ontario [35555]",Youth non-violent crime severity index,Index,23.11,
1998,"London, Ontario [35555]",Weighted clearance rate,Number,23.13,40.67
1998,"London, Ontario [35555]",Violent weighted clearance rate,Number,23.15,69.28
1998,"London, Ontario [35555]",Non-violent weighted clearance rate,Number,23.17,34.95
1998,"London, Ontario [35555]",Percent change in non-violent weighted clearance rate,Percent,23.18,
1998,"Windsor, Ontario [35559]",Crime severity index,Index,24.1,102.12
1998,"Windsor, Ontario [35559]",Violent crime severity index,Index,24.3,83.87
1998,"Windsor, Ontario [35559]",Non-violent crime severity index,Index,24.5,109.13
1998,"Windsor, Ontario [35559]",Youth crime severity index,Index,24.7,
1998,"Windsor, Ontario [35559]",Youth violent crime severity index,Index,24.9,
1998,"Windsor, Ontario [35559]",Youth non-violent crime severity index,Index,24.11,
1998,"Windsor, Ontario [35559]",Weighted clearance rate,Number,24.13,38.87
1998,"Windsor, Ontario [35559]",Violent weighted clearance rate,Number,24.15,66.78
1998,"Windsor, Ontario [35559]",Non-violent weighted clearance rate,Number,24.17,30.62
1998,"Windsor, Ontario [35559]",Percent change in non-violent weighted clearance rate,Percent,24.18,
1998,"Greater Sudbury, Ontario [35580]",Crime severity index,Index,25.1,107.43
1998,"Greater Sudbury, Ontario [35580]",Violent crime severity index,Index,25.3,69.81
1998,"Greater Sudbury, Ontario [35580]",Non-violent crime severity index,Index,25.5,121.9
1998,"Greater Sudbury, Ontario [35580]",Youth crime severity index,Index,25.7,
1998,"Greater Sudbury, Ontario [35580]",Youth violent crime severity index,Index,25.9,
1998,"Greater Sudbury, Ontario [35580]",Youth non-violent crime severity index,Index,25.11,
1998,"Greater Sudbury, Ontario [35580]",Weighted clearance rate,Number,25.13,30.42
1998,"Greater Sudbury, Ontario [35580]",Violent weighted clearance rate,Number,25.15,62.95
1998,"Greater Sudbury, Ontario [35580]",Non-violent weighted clearance rate,Number,25.17,23.26
1998,"Greater Sudbury, Ontario [35580]",Percent change in non-violent weighted clearance rate,Percent,25.18,
1998,"Thunder Bay, Ontario [35595]",Crime severity index,Index,26.1,130.83
1998,"Thunder Bay, Ontario [35595]",Violent crime severity index,Index,26.3,115.46
1998,"Thunder Bay, Ontario [35595]",Non-violent crime severity index,Index,26.5,136.74
1998,"Thunder Bay, Ontario [35595]",Youth crime severity index,Index,26.7,
1998,"Thunder Bay, Ontario [35595]",Youth violent crime severity index,Index,26.9,
1998,"Thunder Bay, Ontario [35595]",Youth non-violent crime severity index,Index,26.11,
1998,"Thunder Bay, Ontario [35595]",Weighted clearance rate,Number,26.13,47.53
1998,"Thunder Bay, Ontario [35595]",Violent weighted clearance rate,Number,26.15,78.09
1998,"Thunder Bay, Ontario [35595]",Non-violent weighted clearance rate,Number,26.17,37.6
1998,"Thunder Bay, Ontario [35595]",Percent change in non-violent weighted clearance rate,Percent,26.18,
1998,Manitoba [46],Crime severity index,Index,28.1,154.49
1998,Manitoba [46],Violent crime severity index,Index,28.3,154.07
1998,Manitoba [46],Non-violent crime severity index,Index,28.5,154.65
1998,Manitoba [46],Youth crime severity index,Index,28.7,170.81
1998,Manitoba [46],Youth violent crime severity index,Index,28.9,148.58
1998,Manitoba [46],Youth non-violent crime severity index,Index,28.11,187.75
1998,Manitoba [46],Weighted clearance rate,Number,28.13,35.64
1998,Manitoba [46],Violent weighted clearance rate,Number,28.15,55.89
1998,Manitoba [46],Non-violent weighted clearance rate,Number,28.17,27.88
1998,Manitoba [46],Percent change in non-violent weighted clearance rate,Percent,28.18,
1998,"Winnipeg, Manitoba [46602]",Crime severity index,Index,29.1,160.21
1998,"Winnipeg, Manitoba [46602]",Violent crime severity index,Index,29.3,174.53
1998,"Winnipeg, Manitoba [46602]",Non-violent crime severity index,Index,29.5,154.7
1998,"Winnipeg, Manitoba [46602]",Youth crime severity index,Index,29.7,
1998,"Winnipeg, Manitoba [46602]",Youth violent crime severity index,Index,29.9,
